Date,Sales Person,State,Product,Quantity
2025-07-14,Keya Wagle,Himachal Pradesh,OCR Scanner,429
2024-12-01,Riya Verma,Jammu and Kashmir,Foldable Keyboard,526
2025-07-10,Biju Grewal,Punjab,Gaming Mouse,469
2024-10-15,Piya Gola,Punjab,Foldable Keyboard,256
2025-03-30,Taimur Bhandari,Telangana,Mechanical Keyboard,436
2025-05-08,Baiju Kale,West Bengal,Graphic Pad,267
2025-01-21,Kanav Raja,Madhya Pradesh,Graphic Pad,278
2025-05-27,Fateh Chaudhary,Himachal Pradesh,OMR Scanner,281
2025-07-16,Mohanlal Garg,Tamil Nadu,WebCam,253
2025-06-21,Anika Karnik,Odisha,Flatbed Scanner,579
2025-01-06,Nayantara Srinivasan,Andhra Pradesh,Graphic Pad,103
2025-04-13,Neysa Sura,Maharashtra,Thermal Printer,181
2025-02-23,Vanya Sachdeva,Uttar Pradesh,Foldable Keyboard,168
2024-09-04,Anay Lall,Karnataka,Laser Printer,245
2025-02-10,Yashvi Dutta,Telangana,Laser Printer,457
2025-01-03,Stuvan Kanda,Maharashtra,WebCam,365
2025-02-17,Anya Kakar,Tamil Nadu,Gaming Mouse,213
2025-04-21,Eshani Shanker,Assam,Gaming Mouse,342
2025-06-05,Ryan Lad,Tamil Nadu,Mouse,325
2024-10-10,Neysa Bhakta,Punjab,WebCam,574
2025-05-04,Prisha Cherian,Himachal Pradesh,Laser Printer,347
2025-06-25,Faiyaz Toor,Chhattisgarh,Standard Keyboard,521
2025-03-06,Shlok Bassi,Uttarakhand,OMR Scanner,439
2024-10-20,Jayan Dyal,Madhya Pradesh,Laser Printer,263
2024-10-22,Lavanya Hora,Rajasthan,OCR Scanner,202
2024-11-27,Aradhya Chhabra,Assam,Standard Keyboard,209
2025-08-11,Kaira Bhattacharyya,Odisha,OMR Scanner,205
2025-04-10,Jayan Andra,Tamil Nadu,Foldable Keyboard,190
2024-12-04,Chirag Mahajan,Uttarakhand,OCR Scanner,353
2025-05-17,Yuvraj  Rama,Karnataka,OMR Scanner,543
2024-12-23,Yasmin Bava,Kerala,Foldable Keyboard,343
2025-05-09,Aaina Choudhry,Gujarat,Laser Printer,117
2024-11-02,Anay Mander,Arunachal Pradesh,OMR Scanner,122
2025-05-07,Ishita Iyer,West Bengal,Foldable Keyboard,462
2025-02-06,Onkar Madan,Telangana,Mechanical Keyboard,255
2025-05-15,Rhea Chauhan,Himachal Pradesh,Standard Keyboard,216
2025-04-11,Hrishita Bhatnagar,Maharashtra,Graphic Pad,345
2025-03-20,Dishani Sha,Punjab,OCR Scanner,354
2025-01-30,Reyansh Dhar,Uttar Pradesh,Gaming Mouse,258
2024-09-21,Onkar Krish,Jammu and Kashmir,Laser Printer,231
2024-09-29,Taran Butala,Andhra Pradesh,Mouse,382
2025-08-02,Shlok Arya,Odisha,Laser Printer,306
2025-07-07,Ritvik Samra,Punjab,Flatbed Scanner,489
2025-01-06,Aarna Jani,Kerala,Mechanical Keyboard,228
2025-09-02,Kiaan Chauhan,Arunachal Pradesh,Gaming Mouse,570
2025-05-18,Samiha Lal,Chhattisgarh,Mouse,402
2025-06-11,Gatik Gandhi,Kerala,Graphic Pad,314
2024-11-07,Inaaya  Chawla,Punjab,Graphic Pad,454
2025-05-07,Charvi Samra,Karnataka,Mouse,375
2025-01-19,Mannat Lall,Kerala,Mouse,324
2025-08-28,Sana Sankaran,Chhattisgarh,WebCam,539
2025-05-27,Yashvi Gara,West Bengal,Laser Printer,199
2024-11-23,Zaina Gole,Bihar,Mouse,582
2025-04-02,Shlok Chakrabarti,Arunachal Pradesh,Laser Printer,302
2025-06-02,Nayantara Bobal,Uttar Pradesh,OCR Scanner,290
2025-05-31,Ehsaan Batra,Andhra Pradesh,OMR Scanner,358
2025-08-08,Tiya Krishnan,Uttar Pradesh,Graphic Pad,440
2025-05-31,Nishith Sarraf,Assam,OMR Scanner,254
2025-02-15,Kabir Chadha,Bihar,OMR Scanner,136
2025-01-19,Tushar Sheth,Andhra Pradesh,Graphic Pad,339
2025-05-05,Shaan Bali,Haryana,Foldable Keyboard,189
2024-10-23,Mehul Swaminathan,Madhya Pradesh,Graphic Pad,250
2025-05-10,Aarav Buch,Arunachal Pradesh,Standard Keyboard,566
2024-09-09,Inaaya  Jani,Maharashtra,Foldable Keyboard,100
2025-02-15,Nitya Kumer,Madhya Pradesh,Thermal Printer,322
2025-03-15,Ahana  Sen,Maharashtra,Gaming Mouse,406
2025-01-31,Suhana Khalsa,Jammu and Kashmir,Mechanical Keyboard,326
2024-10-06,Vivaan Chana,West Bengal,Foldable Keyboard,138
2024-11-26,Jivin Bora,Telangana,Mechanical Keyboard,185
2024-12-19,Raunak Madan,Chhattisgarh,WebCam,217
2025-06-18,Alisha Acharya,Bihar,Foldable Keyboard,245
2025-08-26,Shaan Madan,Karnataka,WebCam,298
2025-08-07,Lavanya Seshadri,Uttarakhand,Mouse,381
2025-03-24,Keya Bains,Uttarakhand,Laser Printer,163
2025-04-28,Anay Dora,Arunachal Pradesh,Mouse,299
2024-11-06,Hridaan Sandhu,Haryana,Gaming Mouse,184
2025-04-15,Shaan Salvi,Bihar,Graphic Pad,380
2025-07-16,Advik Mann,Rajasthan,Standard Keyboard,208
2025-04-28,Shray Loyal,Tamil Nadu,Flatbed Scanner,446
2025-07-25,Advik Bera,Odisha,Foldable Keyboard,329
2024-12-25,Shaan Vora,Assam,Laser Printer,283
2024-11-04,Krish Sani,Gujarat,Foldable Keyboard,246
2024-09-26,Nirvaan Rao,Telangana,Standard Keyboard,516
2025-04-07,Divij Singhal,Tamil Nadu,Mouse,380
2025-07-06,Bhamini Aurora,Jammu and Kashmir,OMR Scanner,159
2024-09-05,Armaan Dubey,Odisha,Flatbed Scanner,600
2025-01-20,Anahita Ravi,Odisha,Foldable Keyboard,550
2024-11-27,Hridaan Sunder,Rajasthan,WebCam,257
2025-08-09,Dharmajan Sunder,Jammu and Kashmir,Foldable Keyboard,311
2025-03-02,Kartik Thaker,Tamil Nadu,Foldable Keyboard,347
2025-07-19,Yakshit Balasubramanian,Chhattisgarh,Mechanical Keyboard,383
2024-10-17,Keya Doshi,Bihar,WebCam,504
2025-03-01,Raunak Mand,Uttarakhand,Foldable Keyboard,288
2025-02-24,Mamooty Sodhi,Uttarakhand,Standard Keyboard,565
2025-06-02,Himmat Bhavsar,Chhattisgarh,Mouse,581
2025-07-22,Ela Tiwari,Bihar,Thermal Printer,379
2024-09-25,Lavanya Apte,Andhra Pradesh,Standard Keyboard,317
2025-05-11,Kiara Ratti,Jammu and Kashmir,OCR Scanner,199
2025-08-27,Divit Sandal,Bihar,WebCam,448
2024-12-06,Aarush Datta,Arunachal Pradesh,Graphic Pad,448
2025-01-03,Umang Ratti,Haryana,OCR Scanner,451
2025-02-12,Charvi Ramaswamy,Rajasthan,WebCam,280
2025-07-20,Indranil Anand,Jammu and Kashmir,Foldable Keyboard,455
2025-05-30,Ivana Devi,Madhya Pradesh,Standard Keyboard,204
2025-05-13,Vedika Sarin,Rajasthan,Standard Keyboard,281
2024-10-09,Romil Sandal,Himachal Pradesh,Mechanical Keyboard,516
2024-12-28,Seher Thaker,Arunachal Pradesh,Gaming Mouse,206
2025-01-15,Romil Deep,Uttarakhand,Graphic Pad,238
2025-08-15,Rasha Mani,Maharashtra,Gaming Mouse,330
2025-05-19,Divij Dhillon,Assam,Foldable Keyboard,583
2024-10-17,Emir Luthra,Punjab,Standard Keyboard,435
2025-06-17,Myra Contractor,Karnataka,Gaming Mouse,217
2025-08-26,Anahi Ramanathan,Uttarakhand,Laser Printer,418
2024-12-18,Pari Chawla,Haryana,Graphic Pad,491
2025-01-18,Navya Sarna,Bihar,Mouse,353
2025-06-18,Stuvan Bains,Madhya Pradesh,WebCam,487
2025-07-11,Shayak Chakraborty,Arunachal Pradesh,Thermal Printer,396
2024-10-31,Faiyaz Batta,Bihar,Flatbed Scanner,285
2025-08-29,Rania Varghese,Tamil Nadu,Foldable Keyboard,166
2024-11-03,Veer Barad,Uttarakhand,Foldable Keyboard,508
2024-12-19,Manikya Mani,West Bengal,OMR Scanner,597
2024-10-15,Sana Sahota,Jammu and Kashmir,WebCam,116
2025-03-19,Reyansh Chaudhary,Haryana,Graphic Pad,132
2025-05-11,Anika Bhakta,Assam,OCR Scanner,262
2025-05-10,Abram Barad,Telangana,Thermal Printer,404
2024-09-29,Rasha Ganesan,Odisha,WebCam,124
2024-12-24,Tara Badal,Himachal Pradesh,WebCam,417
2024-11-25,Taimur Bera,Assam,Gaming Mouse,526
2025-03-07,Jhanvi Bali,Rajasthan,OMR Scanner,270
2025-08-15,Tanya D’Alia,Gujarat,Thermal Printer,275
2025-01-02,Anvi Khurana,Telangana,Gaming Mouse,425
2025-07-26,Ayesha Korpal,Assam,Graphic Pad,423
2025-04-08,Neelofar Jayaraman,Assam,Standard Keyboard,578
2025-02-21,Trisha Saha,Telangana,Mouse,342
2025-04-20,Anaya Ratti,Kerala,Mechanical Keyboard,347
2025-04-04,Ayesha Date,Telangana,OMR Scanner,371
2025-08-11,Zeeshan Jani,Karnataka,Flatbed Scanner,167
2025-04-13,Vardaniya Hegde,Chhattisgarh,Graphic Pad,102
2025-07-21,Sumer Bava,Gujarat,Mechanical Keyboard,400
2025-05-07,Bhavin Kala,Madhya Pradesh,WebCam,102
2025-07-11,Rohan Rao,Uttar Pradesh,Thermal Printer,355
2025-07-09,Sana Deshpande,Karnataka,Standard Keyboard,127
2024-11-11,Jhanvi Rastogi,Haryana,Gaming Mouse,576
2025-07-26,Samarth Sahota,Karnataka,Flatbed Scanner,508
2025-01-12,Amira Biswas,Jammu and Kashmir,Mouse,452
2024-11-27,Manikya Sane,Arunachal Pradesh,Laser Printer,227
2025-05-07,Rati Ratti,Punjab,Thermal Printer,214
2024-12-22,Anay Dhar,Himachal Pradesh,OCR Scanner,504
2025-03-29,Amira Bhavsar,Haryana,Mouse,221
2025-01-09,Arhaan Gour,Assam,Gaming Mouse,357
2024-10-13,Akarsh Kakar,Telangana,Gaming Mouse,165
2024-09-17,Saksham Basu,Uttarakhand,Standard Keyboard,212
2025-02-25,Taimur Ghosh,Andhra Pradesh,Foldable Keyboard,255
2025-01-29,Yuvaan Mandal,Tamil Nadu,WebCam,449
2025-04-07,Sana Kamdar,Jammu and Kashmir,Graphic Pad,423
2025-06-12,Devansh Cherian,Andhra Pradesh,Standard Keyboard,147
2025-03-28,Saira Keer,Jammu and Kashmir,WebCam,423
2025-03-16,Aarush Reddy,Haryana,Graphic Pad,292
2025-06-10,Azad Saraf,Chhattisgarh,Graphic Pad,507
2025-06-12,Aayush Badal,West Bengal,Mechanical Keyboard,270
2025-07-15,Nitya Bhakta,Odisha,OMR Scanner,197
2025-08-05,Tanya Raman,Andhra Pradesh,Gaming Mouse,177
2025-03-06,Bhavin Amble,Bihar,Mouse,220
2025-03-31,Emir Kade,Haryana,Gaming Mouse,213
2025-05-12,Indrajit Shere,Odisha,Laser Printer,189
2024-09-13,Vaibhav Suri,Andhra Pradesh,OCR Scanner,283
2025-07-13,Kimaya Sahota,Haryana,Mouse,282
2024-12-31,Misha Ramakrishnan,Uttarakhand,Mechanical Keyboard,344
2025-09-01,Zain Chaudhari,Chhattisgarh,Thermal Printer,225
2025-02-15,Jiya Kuruvilla,Haryana,Foldable Keyboard,127
2024-09-29,Baiju Divan,Punjab,OMR Scanner,224
2024-11-09,Yuvaan Golla,Tamil Nadu,Laser Printer,376
2025-01-24,Miraan Thakkar,Assam,Laser Printer,483
2024-10-25,Tarini Kapadia,Maharashtra,Mouse,292
2024-09-06,Aniruddh Chaudhry,Kerala,Standard Keyboard,506
2024-12-31,Anaya Madan,Rajasthan,OMR Scanner,390
2025-04-02,Dishani Dyal,Madhya Pradesh,Foldable Keyboard,399
2025-05-20,Madhav Sarin,Uttarakhand,Mouse,262
2025-04-15,Ela Sandhu,Odisha,OCR Scanner,244
2025-06-08,Hazel Date,Rajasthan,Gaming Mouse,279
2025-08-10,Ritvik Mander,Uttar Pradesh,WebCam,401
2025-08-17,Yakshit Rout,Tamil Nadu,Standard Keyboard,579
2025-05-04,Hridaan Dixit,Chhattisgarh,Laser Printer,106
2025-08-02,Siya Chakraborty,Uttarakhand,OMR Scanner,338
2025-07-12,Sahil Kala,Haryana,Flatbed Scanner,568
2025-07-06,Nishith Shukla,Assam,Gaming Mouse,153
2024-10-30,Arnav Sanghvi,Arunachal Pradesh,Mechanical Keyboard,404
2024-12-19,Samar Jha,Maharashtra,Mechanical Keyboard,451
2025-06-05,Taran Seshadri,Haryana,Mechanical Keyboard,597
2025-05-09,Ranbir Bhagat,Arunachal Pradesh,Graphic Pad,138
2025-06-06,Ela Chana,Madhya Pradesh,OCR Scanner,129
2025-07-24,Kiara Dora,Karnataka,Foldable Keyboard,127
2025-02-25,Krish Borde,Tamil Nadu,WebCam,377
2025-05-27,Purab Gera,Rajasthan,Mechanical Keyboard,327
2025-06-28,Badal Balay,Chhattisgarh,WebCam,332
2024-10-03,Alia Chakrabarti,Andhra Pradesh,Mechanical Keyboard,150
2025-01-02,Lagan Deo,Bihar,Mouse,467
2025-04-21,Advik Borra,Rajasthan,Foldable Keyboard,244
2024-09-10,Biju Jha,Telangana,OMR Scanner,392
2025-05-28,Zara Babu,Tamil Nadu,Thermal Printer,373
2024-11-22,Tara Chada,Madhya Pradesh,OCR Scanner,306
2025-02-26,Hunar Suresh,Odisha,Laser Printer,416
2025-08-30,Anya Dugar,Bihar,Foldable Keyboard,262
2024-10-25,Suhana Raja,West Bengal,Thermal Printer,170
2025-05-16,Fateh Chana,Telangana,Graphic Pad,581
2025-07-24,Tarini Banik,Telangana,Mouse,115
2024-10-31,Taimur Upadhyay,Tamil Nadu,WebCam,291
2025-04-24,Renee Bhavsar,Punjab,Foldable Keyboard,261
2024-09-13,Arhaan Shan,Jammu and Kashmir,Laser Printer,492
2025-08-19,Vaibhav Magar,Assam,Mouse,560
2024-11-21,Dhanuk Chander,Karnataka,Flatbed Scanner,382
2024-12-01,Zain Anand,Telangana,Mouse,305
2025-06-09,Sana Sekhon,West Bengal,OCR Scanner,260
2025-03-05,Elakshi Cherian,Rajasthan,Mechanical Keyboard,506
2025-07-12,Mishti Tak,Bihar,OMR Scanner,148
2025-08-05,Jayan Rama,Assam,Mechanical Keyboard,578
2025-05-04,Anya Dixit,Uttar Pradesh,OMR Scanner,491
2025-08-30,Manjari Varty,Gujarat,Standard Keyboard,497
2025-05-28,Siya Tank,Bihar,Foldable Keyboard,545
2025-07-01,Azad Rout,Rajasthan,Laser Printer,446
2025-04-22,Indrajit Jani,West Bengal,Standard Keyboard,409
2025-07-27,Rohan Krishnan,Punjab,Laser Printer,534
2025-02-19,Baiju Rajagopal,Kerala,Gaming Mouse,101
2025-02-26,Miraya Devi,Haryana,Thermal Printer,259
2024-09-13,Sara Dhar,Himachal Pradesh,OCR Scanner,106
2024-11-27,Kabir Deshpande,Madhya Pradesh,Laser Printer,353
2025-01-11,Kabir Bandi,Haryana,Foldable Keyboard,342
2024-09-18,Gokul Deep,Uttar Pradesh,Mouse,289
2025-06-19,Pranay Kumar,Haryana,Gaming Mouse,368
2025-01-07,Baiju Rattan,Kerala,Graphic Pad,173
2025-01-12,Darshit Wali,Andhra Pradesh,Graphic Pad,244
2024-10-01,Chirag Dayal,Bihar,Mouse,324
2024-11-29,Tiya Mand,Tamil Nadu,Foldable Keyboard,575
2025-06-24,Anahita Grover,Uttarakhand,Thermal Printer,330
2025-01-13,Mishti Seth,Tamil Nadu,OMR Scanner,580
2025-04-19,Ishita Tata,Madhya Pradesh,Flatbed Scanner,395
2024-11-16,Navya Tiwari,Bihar,Mouse,286
2024-12-01,Uthkarsh Gill,Haryana,Graphic Pad,352
2024-11-11,Ayesha Wagle,Himachal Pradesh,WebCam,105
2025-05-01,Tiya Dhawan,Bihar,Standard Keyboard,149
2024-09-18,Abram Ramanathan,Kerala,Mouse,329
2025-06-14,Yashvi Koshy,Gujarat,Laser Printer,576
2024-09-22,Pihu Sampath,Rajasthan,Graphic Pad,566
2025-01-05,Sara Gill,Gujarat,Thermal Printer,365
2025-05-13,Saksham Mani,Bihar,WebCam,206
2025-07-23,Vivaan Thaker,Madhya Pradesh,Mechanical Keyboard,518
2025-01-05,Fateh Kalita,Jammu and Kashmir,Gaming Mouse,552
2025-07-19,Faiyaz Goswami,Karnataka,Thermal Printer,116
2024-11-20,Kiara Manda,West Bengal,Gaming Mouse,594
2024-12-03,Shanaya Chaudhary,Kerala,Gaming Mouse,433
2024-12-08,Lakshay Bora,Telangana,Thermal Printer,388
2024-09-29,Chirag Rana,West Bengal,Mechanical Keyboard,150
2025-07-26,Kismat Wadhwa,Karnataka,Gaming Mouse,103
2025-01-03,Samaira Ghosh,Himachal Pradesh,Flatbed Scanner,190
2025-07-22,Farhan Badal,Maharashtra,WebCam,342
2024-10-24,Kaira Kala,Himachal Pradesh,OMR Scanner,207
2025-01-13,Anya Dara,Punjab,WebCam,321
2025-02-07,Sana Bhatnagar,Karnataka,Thermal Printer,203
2024-12-29,Sahil Batra,West Bengal,Standard Keyboard,396
2025-03-17,Hridaan Chowdhury,Haryana,Standard Keyboard,262
2025-03-10,Yashvi Raman,Andhra Pradesh,WebCam,356
2024-10-21,Divij Shan,Gujarat,Mouse,470
2025-04-02,Krish Savant,Himachal Pradesh,Mechanical Keyboard,178
2024-12-21,Stuvan Dutt,Arunachal Pradesh,OMR Scanner,497
2025-02-02,Aarush Varkey,West Bengal,OMR Scanner,155
2025-04-16,Bhamini Sibal,Gujarat,OMR Scanner,244
2025-07-19,Ranbir Khanna,Tamil Nadu,Gaming Mouse,569
2025-04-04,Dhanuk Dayal,Kerala,Mechanical Keyboard,200
2024-11-22,Indrajit Gola,Odisha,Laser Printer,205
2025-01-16,Dhruv Rau,Kerala,Gaming Mouse,243
2025-05-31,Parinaaz Sethi,West Bengal,Foldable Keyboard,493
2024-09-07,Rohan Kanda,Madhya Pradesh,WebCam,461
2024-09-18,Nirvi Cheema,Assam,Flatbed Scanner,366
2024-11-18,Hiran Swamy,Assam,WebCam,303
2025-06-26,Saira Kalla,Maharashtra,Laser Printer,271
2025-01-24,Tejas Bava,Rajasthan,OMR Scanner,253
2025-04-26,Tiya Karnik,Madhya Pradesh,Foldable Keyboard,184
2025-01-13,Zaina Bhat,Telangana,Standard Keyboard,409
2025-01-31,Jivika Upadhyay,Maharashtra,Thermal Printer,273
2024-11-04,Biju Agarwal,Karnataka,Foldable Keyboard,110
2024-11-23,Lavanya Gala,Karnataka,Standard Keyboard,112
2025-08-20,Raghav Keer,Uttar Pradesh,WebCam,456
2025-05-18,Yakshit Dugar,Karnataka,OCR Scanner,206
2025-01-19,Diya Sarna,Karnataka,Thermal Printer,215
2025-01-02,Ela Sahota,Uttar Pradesh,Mechanical Keyboard,301
2024-09-22,Suhana Sur,Arunachal Pradesh,Flatbed Scanner,535
2025-08-24,Vardaniya Ramakrishnan,Andhra Pradesh,WebCam,139
2025-07-13,Rasha Dara,Kerala,Flatbed Scanner,384
2024-11-08,Taimur Shenoy,Bihar,WebCam,390
2024-10-04,Nirvaan Shetty,Uttarakhand,WebCam,233
2025-07-17,Miraya Chatterjee,Maharashtra,Gaming Mouse,198
2025-02-25,Jivika Sethi,Telangana,OMR Scanner,368
2025-02-10,Lagan Doshi,Assam,Standard Keyboard,548
2025-04-05,Onkar Iyer,Tamil Nadu,Mechanical Keyboard,323
2025-03-24,Zeeshan Bhasin,West Bengal,Laser Printer,590
2025-08-15,Kanav Sachdev,Chhattisgarh,Standard Keyboard,390
2024-10-25,Diya Acharya,Kerala,Graphic Pad,351
2025-08-05,Mamooty Mani,Haryana,OMR Scanner,103
2025-05-18,Farhan Chawla,Jammu and Kashmir,Flatbed Scanner,510
2025-05-19,Alia Talwar,Andhra Pradesh,Laser Printer,376
2024-10-16,Miraya Kale,Chhattisgarh,OMR Scanner,478
2025-05-24,Sana Bhatnagar,Maharashtra,Standard Keyboard,341
2025-03-09,Keya Sura,Arunachal Pradesh,Foldable Keyboard,454
2024-11-12,Kabir Barman,Uttar Pradesh,Mouse,557
2024-11-30,Divij Saxena,Assam,Standard Keyboard,356
2024-10-13,Jivin Kaur,Uttarakhand,OMR Scanner,320
2024-12-30,Manjari Handa,Telangana,Mechanical Keyboard,552
2024-12-13,Jayant Kant,Jammu and Kashmir,Gaming Mouse,167
2025-04-23,Ira Comar,Uttar Pradesh,Graphic Pad,507
2025-08-10,Aaryahi Sahota,Karnataka,Mouse,455
2024-11-05,Diya Kapur,Odisha,Gaming Mouse,555
2024-09-24,Armaan Rastogi,Tamil Nadu,OMR Scanner,259
2024-10-14,Kaira Varughese,Himachal Pradesh,Thermal Printer,230
2025-03-17,Hiran Karan,Chhattisgarh,Standard Keyboard,405
2024-12-22,Neelofar Dhingra,West Bengal,Thermal Printer,152
2025-06-26,Neysa Shenoy,Gujarat,Mechanical Keyboard,166
2024-11-29,Elakshi Bansal,Assam,Standard Keyboard,529
2024-10-10,Kashvi Varma,Bihar,Laser Printer,164
2024-10-08,Riaan Zacharia,Jammu and Kashmir,OMR Scanner,559
2025-01-31,Ahana  Gokhale,Madhya Pradesh,Mechanical Keyboard,289
2024-09-13,Aaina Sharaf,Haryana,Graphic Pad,576
2025-08-16,Emir Lad,Gujarat,Graphic Pad,129
2024-12-25,Nitya Deshpande,Bihar,Gaming Mouse,564
2025-03-29,Miraya Datta,Rajasthan,Flatbed Scanner,247
2024-12-06,Kaira Bail,Telangana,OCR Scanner,477
2024-10-28,Navya Bumb,Karnataka,Laser Printer,467
2025-07-29,Kiaan Wagle,Madhya Pradesh,Gaming Mouse,168
2025-03-16,Ishita Kibe,Karnataka,OMR Scanner,141
2024-09-09,Mohanlal Brar,Andhra Pradesh,Laser Printer,314
2025-07-05,Samar Sawhney,West Bengal,WebCam,432
2025-08-17,Pari Brar,Jammu and Kashmir,Mechanical Keyboard,474
2024-11-02,Indrans Rao,Jammu and Kashmir,OMR Scanner,560
2025-05-10,Samarth Chander,Himachal Pradesh,Mechanical Keyboard,416
2025-03-22,Dhanush Apte,Telangana,Graphic Pad,208
2025-07-16,Uthkarsh Talwar,Bihar,Standard Keyboard,423
2025-02-11,Divyansh Dalal,Maharashtra,OMR Scanner,140
2024-11-19,Mishti Koshy,Chhattisgarh,OMR Scanner,324
2025-06-20,Manjari Thakur,Kerala,Mechanical Keyboard,353
2025-07-16,Prerak Gala,Telangana,Graphic Pad,149
2024-11-08,Elakshi Zachariah,Chhattisgarh,WebCam,179
2025-07-17,Parinaaz Atwal,Maharashtra,OCR Scanner,349
2025-05-29,Eva Luthra,Uttarakhand,Thermal Printer,543
2025-04-19,Ayesha Rana,Jammu and Kashmir,OMR Scanner,212
2025-08-28,Badal Comar,Gujarat,Flatbed Scanner,439
2025-03-22,Azad Rastogi,West Bengal,Gaming Mouse,281
2025-07-13,Emir Bhagat,Himachal Pradesh,Standard Keyboard,401
2025-03-26,Ira Borah,Andhra Pradesh,OCR Scanner,507
2024-10-07,Vritika Reddy,Maharashtra,Mouse,444
2025-02-28,Misha Raval,Himachal Pradesh,OCR Scanner,433
2025-06-12,Dishani Rajagopal,Assam,OCR Scanner,456
2025-01-15,Anahi Date,Arunachal Pradesh,Gaming Mouse,532
2024-12-23,Renee Taneja,Arunachal Pradesh,Thermal Printer,335
2025-08-06,Oorja Toor,Tamil Nadu,Mechanical Keyboard,287
2024-10-18,Nehmat Dey,Himachal Pradesh,Standard Keyboard,168
2025-07-19,Aaina Anand,Punjab,OMR Scanner,143
2025-01-02,Saanvi Sarna,Haryana,Mouse,437
2024-09-09,Kashvi Gara,Maharashtra,Mouse,498
2025-08-17,Aarna Rao,Andhra Pradesh,Mouse,448
2024-10-30,Taimur Andra,Odisha,WebCam,467
2025-06-14,Arhaan Kapadia,Tamil Nadu,WebCam,309
2024-09-24,Drishya Jain,Himachal Pradesh,Flatbed Scanner,517
2024-10-11,Riya Savant,Karnataka,Mouse,208
2025-03-08,Alia Savant,Maharashtra,Laser Printer,118
2025-06-11,Yakshit Dyal,Arunachal Pradesh,Flatbed Scanner,177
